cells_at_this_site
d3-e4
d2-e3
d1-e2
d0-e1
d0-z0e
d4-z4e
c4-z4d
c3-d4
c2-d3
c1-d2
c0-d1
c0-z0d
b0-z0c
b0-c1
b1-c2
b2-c3
b3-c4
b4-z4c
a4-z4b
a3-b4
a2-b3
a1-b2
a0-b1
a0-z0b
a0-z*a0
a0-za1
a1-za2
a2-za3
a3-za4
a4-z*a4
e4-z*e4
e3-ze4
e2-ze3
e1-ze2
e0-ze1
e0-z*e0
