UnknownX,UnknownY,Tag
275585.533032717,1497658.15134791,1061
275584.704533252,1497657.83264824,1062
275583.299552504,1497657.55775656,1063
275582.717367346,1497657.32898223,1064
275582.208436177,1497655.52264854,1065
275583.295946475,1497656.56484557,1066
275588.967190846,1497661.24730353,3977
275588.596105536,1497659.58364896,3978
275588.313844579,1497659.68719812,3979
275588.474097667,1497661.31930945,3980
NA,NA,3981
275587.529350642,1497662.10169464,3982
275585.906904688,1497661.59408992,3983
275585.116485299,1497664.057945,3984
275584.850778301,1497663.57470636,3985
275583.011778003,1497663.08423846,3986
275582.922441561,1497661.67495838,3987
275587.657198138,1497665.65276865,3988
275583.684478223,1497666.408819,3989
275583.713312478,1497666.99820199,3990
275583.370229437,1497666.23541687,3991
275583.166069301,1497666.24191473,3992
275581.265409767,1497664.62267686,3993
NA,NA,3994
NA,NA,3995
275581.411477092,1497662.66892792,3996
275581.73817593,1497661.26457474,3997
275581.037587702,1497660.01335363,3998
275583.008662254,1497659.23367926,3999
275584.9941062,1497658.93323774,4000
