UnknownX,UnknownY,Tag
275617.378752266,1497692.57156742,3882
275617.289845005,1497691.75814862,3883
275618.600522515,1497690.88333372,3884
275617.325000541,1497691.18101459,3885
275616.083275159,1497688.81592217,3886
275620.508309421,1497686.481165,3887
275621.811878302,1497684.17305851,3888
275620.913988156,1497684.01968136,3889
275619.950336261,1497684.51356506,3890
275619.64836428,1497683.79861976,3891
275618.413688105,1497684.0362153,3892
275618.330556382,1497683.04524239,3893
275618.127654365,1497687.26623427,3894
275617.148068302,1497687.599186,3895
275617.549439488,1497689.53980562,3896
275616.048962251,1497686.58332001,3897
275615.581116393,1497683.91111647,3898
275613.057613366,1497688.96130807,3899
275612.170374905,1497690.05534425,3900
275610.755802153,1497688.07849272,3901
