UnknownX,UnknownY,Tag
NA,NA,3938
NA,NA,3939
NA,NA,3940
NA,NA,3941
NA,NA,3942
NA,NA,3943
NA,NA,3945
275597.615508934,1497663.22217004,3946
275595.063855427,1497664.12151378,3947
275592.639940256,1497665.78601425,3948
275592.369387934,1497666.18241335,3949
NA,NA,3950
275589.284482108,1497664.01619999,3951
275597.036634124,1497663.50684984,3952
NA,NA,3953
NA,NA,3954
NA,NA,3955
NA,NA,3956
NA,NA,3957
275591.22932555,1497665.39822111,3958
275589.07777728,1497666.18889028,3959
NA,NA,3960
NA,NA,3961
NA,NA,3962
275588.774159464,1497667.22591132,3963
275589.866990558,1497667.93151283,3964
NA,NA,3965
NA,NA,3966
NA,NA,3967
275590.187384624,1497668.77408447,3968
275589.317810043,1497668.74097491,3969
275590.394233982,1497669.38645587,3970
275590.820803804,1497669.75329651,3971
275590.33569926,1497669.57195432,3972
275591.211544254,1497669.29227033,3973
275591.002878765,1497667.69748187,3974
275591.17865796,1497667.14039648,3975
275589.78507529,1497667.96963533,3976
