island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,anao,d1-e2,aglaia,2.83,8.61,582,276027.7421,1498181.628,276023.561366,1498172.71381
guam,anao,d1-e2,guamia,6.28,3.24,583,276023.561366,1498172.71381,276032.7963,1498167.368
guam,anao,d1-e2,cyno,6.32,3.31,584,276023.561366,1498172.71381,276032.7963,1498167.368
guam,anao,d1-e2,neiso,4.11,6.29,585,276027.7421,1498181.628,276031.2554,1498189.799
guam,anao,d1-e2,guamia,3.92,6.09,586,276027.7421,1498181.628,276023.561366,1498172.71381
guam,anao,d1-e2,aglaia,4.47,5.61,587,276027.7421,1498181.628,276023.561366,1498172.71381
guam,anao,d1-e2,guamia,5.64,4.93,588,276027.7421,1498181.628,276023.561366,1498172.71381
guam,anao,d1-e2,aglaia,5.82,5.72,589,276027.7421,1498181.628,276023.561366,1498172.71381
guam,anao,d1-e2,guamia,7.27,2.82,590,276027.7421,1498181.628,276023.561366,1498172.71381
guam,anao,d1-e2,aglaia,3.2,7.68,591,276032.7963,1498167.368,276036.8414,1498175.78
guam,anao,d1-e2,guamia,8.75,1.3,592,276032.7963,1498167.368,276036.8414,1498175.78
guam,anao,d1-e2,aglaia,7.57,4.24,593,276032.7963,1498167.368,276036.8414,1498175.78
guam,anao,d1-e2,aglaia,5.49,5.71,594,276032.7963,1498167.368,276036.8414,1498175.78
guam,anao,d1-e2,aglaia,5.43,5.98,595,276032.7963,1498167.368,276036.8414,1498175.78
guam,anao,d1-e2,neiso,4.88,4.16,596,276023.561366,1498172.71381,276032.7963,1498167.368
guam,anao,d1-e2,neiso,7.02,3.42,597,276023.561366,1498172.71381,276032.7963,1498167.368
guam,anao,d1-e2,guamia,7.28,2.59,598,276032.7963,1498167.368,276036.8414,1498175.78
