cornerpt,cornerx,cornery,cell_name
z0e,276038.9221,1498198.374,e0-z*e0
z*e0,NA,NA,e0-z*e0
ze0,276024.8282,1498191.628,e0-z*e0
e0,276031.2554,1498189.799,e0-z*e0
