island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,anao,e4-z*e4,aglaia,10.48,0.98,1128,276007.5278,1498155.858,276003.8422,1498146.866
guam,anao,e4-z*e4,aglaia,9.99,2.6,1129,276007.5278,1498155.858,276003.8422,1498146.866
guam,anao,e4-z*e4,guamia,5.78,4.72,1130,276007.5278,1498155.858,276003.8422,1498146.866
guam,anao,e4-z*e4,guamia,9.19,5.96,1131,276007.5278,1498155.858,276003.8422,1498146.866
guam,anao,e4-z*e4,aglaia,9.64,6.64,1132,276007.5278,1498155.858,276003.8422,1498146.866
guam,anao,e4-z*e4,guamia,11.28,7.79,1133,276007.5278,1498155.858,276003.8422,1498146.866
guam,anao,e4-z*e4,cyno,8.06,8.55,1134,276007.5278,1498155.858,276003.8422,1498146.866
guam,anao,e4-z*e4,cyno,7.04,7.97,1135,276007.5278,1498155.858,276003.8422,1498146.866
guam,anao,e4-z*e4,cyno,9.02,9.12,1136,276007.5278,1498155.858,276003.8422,1498146.866
guam,anao,e4-z*e4,guamia,5.69,7.86,1137,276007.5278,1498155.858,276003.8422,1498146.866
guam,anao,e4-z*e4,aglaia,5.84,9.84,1138,276007.5278,1498155.858,276003.8422,1498146.866
guam,anao,e4-z*e4,aglaia,5.07,10,1139,276007.5278,1498155.858,276003.8422,1498146.866
guam,anao,e4-z*e4,aglaia,6.08,11.57,1140,276007.5278,1498155.858,276003.8422,1498146.866
guam,anao,e4-z*e4,guamia,8.34,12.98,1141,276007.5278,1498155.858,276003.8422,1498146.866
guam,anao,e4-z*e4,tri,8.47,13.06,1142,276007.5278,1498155.858,276003.8422,1498146.866
guam,anao,e4-z*e4,aglaia,4.27,8.48,1143,276007.5278,1498155.858,276003.8422,1498146.866
guam,anao,e4-z*e4,guamia,4.81,7.98,1144,276007.5278,1498155.858,276003.8422,1498146.866
guam,anao,e4-z*e4,guamia,4.64,7.56,1145,276007.5278,1498155.858,276003.8422,1498146.866
guam,anao,e4-z*e4,guamia,5.17,6.48,1146,276007.5278,1498155.858,276003.8422,1498146.866
guam,anao,e4-z*e4,aglaia,3.8,6.68,1147,276007.5278,1498155.858,276003.8422,1498146.866
guam,anao,e4-z*e4,guamia,3.73,6.46,1148,276007.5278,1498155.858,276003.8422,1498146.866
guam,anao,e4-z*e4,aglaia,5.52,4.81,1149,276007.5278,1498155.858,276003.8422,1498146.866
guam,anao,e4-z*e4,guamia,1.97,8.96,1150,276007.5278,1498155.858,276003.8422,1498146.866
guam,anao,e4-z*e4,aglaia,0.55,9.81,1151,276007.5278,1498155.858,276003.8422,1498146.866
