cornerpt,cornerx,cornery,cell_name
a3,276053.7182,1498145.08,a3-b4
b3,276044.5868,1498151.142,a3-b4
b4,276039.8406,1498140.371,a3-b4
a4,276048.4392,1498135.768,a3-b4
