cornerpt,cornerx,cornery,cell_name
c4,275594.3719,1497673.497,c4-z4d
d4,275604.1541,1497677.408,c4-z4d
z4d,275607.3727,1497667.89,c4-z4d
z4c,275600.5035,1497662.791,c4-z4d
