Point_name,corner_x,corner_y
a0,369707.2132,1676553.218
a1,369717.7571,1676552.987
a2,369727.1188,1676552.509
a3,369738.221243,1676552.6016875
a4,369748.952372,1676552.38375
b0,369707.3979,1676563.537
b1,369716.7993,1676563.785
b2,369727.8514,1676561.548
b3,369738.6179,1676562.456
b4,369749.7509,1676560.341
c0,369706.7274,1676573.964
c1,369717.8004,1676573.19
c2,369727.99915625,1676572.2145925
c3,369737.9903,1676571.362
c4,369747.4551,1676571.249
d0,369708.0891,1676582.464
d1,369718.207493,1676582.30544
d2,369728.354525,1676582.75837
d3,369738.719209,1676581.74309
d4,369748.49560225,1676581.7420225
e0,369708.8778,1676590.41
e1,369717.5802,1676590.327
e2,369730.6541,1676591.125
e3,369739.3332,1676589.709
e4,369748.5804,1676591.314
z*a0,369695.519071,1676543.09389
z*a4,369758.801705,1676542.0231
z*e0,369700.481585,1676601.70586
z*e4,NA,NA
z0a,369696.4661,1676554.079
z0b,369697.1815,1676563.191
z0c,369697.8323,1676574.781
z0d,369699.069395,1676584.12033
z0e,369699.708,1676591.948
z4a,NA,NA
z4b,369759.627831,1676560.66839
z4c,369756.9199,1676571.136
z4d,369759.2277,1676582.662
za0,369707.2317,1676542.269
za1,369717.531964,1676542.1179
za2,369726.1567,1676542.21
za3,369738.1959,1676543.058
za4,369749.028877,1676542.53857
ze0,369710.052339,1676600.74318
ze1,369719.124631,1676601.08342
ze2,369728.3421,1676599.914
ze3,369741.1676,1676602.328
ze4,369748.6887,1676601.149
