Point_name,corner_x,corner_y
a0,353412.1466,1663113.842
a1,353408.2142,1663106.142
a2,353405.2726,1663096.803
a3,353396.3568,1663088.622
a4,353391.05938875,1663081.3515825
b0,353405.8216,1663118.649
b1,353402.12189,1663111.04834
b2,353397.3864,1663102.472
b3,353389.6208,1663094.566
b4,353385.4077,1663086.152
c0,353400.2781,1663123.81
c1,353396.3168,1663116.847
c2,353390.5613,1663107.6245
c3,353384.8058,1663098.402
c4,353377.616,1663090.834
d0,353392.948005,1663128.07203
d1,353386.1386,1663119.999
d2,353382.1241975,1663112.769345
d3,353376.88729,1663105.54188
d4,353370.432,1663095.699
e0,353384.3577,1663134.136
e1,353380.071004,1663126.63934
e2,353374.9096,1663117.912
e3,353368.591592,1663110.31755
e4,353362.218596,1663102.81313
z*a0,353426.803034,1663115.44091
z*a4,353388.3219,1663070.193
z*e0,353383.96,1663145.426
z*e4,353347.001499,1663102.08861
z0a,353419.662657,1663120.42808
z0b,353413.330515,1663125.36687
z0c,353405.8271,1663131.026
z0d,353397.9222,1663136.162
z0e,353390.6125,1663141.259
z4a,353384.477006,1663073.83497
z4b,353379.114494,1663078.64715
z4c,353372.496265,1663083.47536
z4d,353364.147386,1663089.1054
za0,353422.168761,1663108.82618
za1,353416.1396,1663100.995
za2,353412.2777,1663091.193
za3,353405.8708,1663082.375
za4,353397.996049,1663076.79736
ze0,353378.1328,1663137.639
ze1,NA,NA
ze2,NA,NA
ze3,353360.852781,1663116.07342
ze4,353354.548907,1663109.40823
