cells_at_this_site
e4-z*e4
d4-z4e
c4-z4d
b4-z4c
a4-z4b
a4-z*a4
a3-za4
a3-b4
b3-c4
c3-d4
d3-e4
e3-ze4
e2-ze3
d2-e3
c2-d3
b2-c3
a2-b3
a2-za3
a1-za2
a1-b2
b1-c2
c1-d2
d1-e2
e1-ze2
e0-ze1
d0-e1
c0-d1
b0-c1
a0-b1
a0-za1
a0-z*a0
a0-z0b
b0-z0c
c0-z0d
d0-z0e
e0-z*e0
