UnknownX,UnknownY,Tag
275595.422674768,1497705.24970997,110
275594.337722006,1497704.41377336,111
275594.412385338,1497702.59682123,112
275594.54477143,1497701.81557437,113
275597.965321235,1497702.9789362,114
275598.081718783,1497704.98360526,115
275598.147865222,1497705.67705265,116
275599.004890986,1497706.62862923,117
275599.683113615,1497706.5802668,118
275599.949738838,1497706.47307453,119
275602.128664554,1497703.26286633,120
NA,NA,121
NA,NA,122
NA,NA,123
NA,NA,124
275597.186874403,1497698.59617016,125
275595.956569252,1497700.11323317,126
275596.326504299,1497700.14101515,127
NA,NA,128
NA,NA,129
