UnknownX,UnknownY,Tag
275592.454323219,1497677.93017459,289
275591.509755919,1497677.7761861,290
275589.95544327,1497678.96490013,291
275589.987298117,1497678.34171598,292
NA,NA,293
275590.224060733,1497677.19957065,294
NA,NA,295
NA,NA,296
275585.434698203,1497679.58040761,297
275583.225940793,1497679.23415503,298
275582.46424441,1497678.29867842,299
275582.86437581,1497677.1992681,300
275592.143605603,1497676.43822493,301
275588.997497578,1497673.08724568,302
275588.267225605,1497674.63588127,303
275586.823235406,1497671.49356224,304
275585.682679962,1497670.18226696,305
