cornerpt,cornerx,cornery,cell_name
z0b,275564.4212,1497713.19,a0-z0b
z0c,275573.6129,1497718.379,a0-z0b
c0,275579.2518,1497710.208,a0-z0b
b0,275569.9853,1497704.387,a0-z0b
