island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
rota,grvpt,e0-ze1,pap,9.25,4.29,9288,309736.3087,1565645.906,309728.122,1565643.277
rota,grvpt,e0-ze1,guamia,6.7,4.28,9289,309736.3087,1565645.906,309728.122,1565643.277
rota,grvpt,e0-ze1,neiso,6.72,6.3,9290,309736.3087,1565645.906,309728.122,1565643.277
rota,grvpt,e0-ze1,guamia,11.02,7.26,9291,309736.3087,1565645.906,309728.122,1565643.277
rota,grvpt,e0-ze1,guamia,11.06,8.05,9292,309736.3087,1565645.906,309728.122,1565643.277
rota,grvpt,e0-ze1,guamia,11.59,10.63,9293,309736.3087,1565645.906,309728.122,1565643.277
rota,grvpt,e0-ze1,neiso,6.67,9.8,9294,309736.3087,1565645.906,309728.122,1565643.277
rota,grvpt,e0-ze1,neiso,6.91,11.21,9295,309736.3087,1565645.906,309728.122,1565643.277
rota,grvpt,e0-ze1,ifit,6.36,12.13,9296,309736.3087,1565645.906,309728.122,1565643.277
rota,grvpt,e0-ze1,neiso,10.97,11.68,9297,309736.3087,1565645.906,309728.122,1565643.277
rota,grvpt,e0-ze1,neiso,6.25,7.38,9298,309736.3087,1565645.906,309728.122,1565643.277
rota,grvpt,e0-ze1,neiso,5.48,10.18,9299,309736.3087,1565645.906,309728.122,1565643.277
rota,grvpt,e0-ze1,neiso,4.28,10.55,9300,309736.3087,1565645.906,309728.122,1565643.277
rota,grvpt,e0-ze1,neiso,3.73,10.57,9301,309736.3087,1565645.906,309728.122,1565643.277
rota,grvpt,e0-ze1,mor,1.9,9.2,9302,309736.3087,1565645.906,309728.122,1565643.277
rota,grvpt,e0-ze1,ifit,3.05,7.53,9303,309736.3087,1565645.906,309728.122,1565643.277
rota,grvpt,e0-ze1,tri,2.89,8.97,9304,309736.3087,1565645.906,309728.122,1565643.277
rota,grvpt,e0-ze1,ifit,5.16,5.39,9305,309736.3087,1565645.906,309728.122,1565643.277
rota,grvpt,e0-ze1,guamia,4.88,6.13,9306,309736.3087,1565645.906,309728.122,1565643.277
