cornerpt,cornerx,cornery,cell_name
z0d,309715.6761,1565648.595,d0-z0e
z0e,NA,NA,d0-z0e
e0,309728.122,1565643.277,d0-z0e
d0,309723.8191,1565652.789,d0-z0e
