cornerpt,cornerx,cornery,cell_name
d3,309752.879011,1565662.22808,d3-e4
e3,309754.319,1565653.4,d3-e4
e4,309765.7887,1565656.328,d3-e4
d4,309762.749084688,1565665.04065,d3-e4
