Point_name,corner_x,corner_y
a0,352617.1764,1663844.688
a1,352621.8336,1663853.447
a2,352626.198099,1663860.95781
a3,352628.2399,1663869.371
a4,352630.3941,1663877.619
b0,352610.178391,1663849.21249
b1,352613.86766,1663856.97013
b2,352617.8524,1663864.479
b3,352619.5118,1663870.869
b4,352624.5801,1663881.544
c0,352602.3759,1663853.817
c1,352605.958386,1663860.93983
c2,352608.301451,1663867.92406
c3,352611.7635,1663874.894
c4,352613.6647,1663886.063
d0,352592.1061375,1663856.3252525
d1,352595.9349,1663864.239
d2,352598.7603,1663870.16
d3,352601.7731,1663880.121
d4,352604.7591,1663889.987
e0,352582.95655,1663859.36701
e1,352585.614426,1663868.45782
e2,352588.232,1663875.614
e3,352591.8095,1663885.443
e4,352595.6287,1663893.74
z*a0,352623.2281,1663832.811
z*a4,352644.4741,1663882.37
z*e0,352569.5046,1663853.424
z*e4,NA,NA
z0a,352614.624738,1663836.36544
z0b,352604.0434,1663841.528
z0c,352595.3031,1663844.359
z0d,352587.1572,1663847.878
z0e,352572.7974,1663861.082
z4a,352635.6291,1663886.686
z4b,352626.701548,1663890.70803
z4c,352617.8414,1663894.26
z4d,352608.400235,1663898.56611
za0,352626.7676,1663842.644
za1,352631.236538,1663849.19897
za2,352635.02255,1663858.48457
za3,352638.093011,1663865.04334
za4,352640.395597,1663872.79302
ze0,352577.139963,1663850.75636
ze1,352575.707174,1663870.83636
ze2,352579.956699,1663879.13986
ze3,352583.103195,1663888.34131
ze4,352586.299375,1663897.21781
