available_cells
a0-b1
b0-c1
c0-d1
d0-e1
d1-e2
c1-d2
b1-c2
a1-b2
a2-b3
b2-c3
c2-d3
d2-e3
d3-e4
c3-d4
b3-c4
a3-b4
a4-z*a4
a3-za4
a0-za1
a4-z4b
a2-za3
a1-za2
a0-z0b
c0-z0d
a0-z*a0
b0-z0c
d0-z0e
e1-ze2
e0-z*e0
e0-ze1
e4-z*e4
e2-ze3
e3-ze4
d4-z4e
c4-z4d
b4-z4c
