cornerpt,cornerx,cornery,cell_name
z0c,269924.5796,1509831.927,c0-z0d
z0d,269930.7137,1509839.829,c0-z0d
d0,269922.5001,1509844.307,c0-z0d
c0,269916.8231,1509836.189,c0-z0d
