cornerpt,cornerx,cornery,cell_name
d2,269904.1031,1509852.292,d2-e3
e2,269910.8551,1509861.372,d2-e3
e3,269902.185931,1509867.06246,d2-e3
d3,269895.0071,1509855.982,d2-e3
