cornerpt,cornerx,cornery,cell_name
c0,269916.8231,1509836.189,c0-d1
d0,269922.5001,1509844.307,c0-d1
d1,269912.5199,1509847.507,c0-d1
c1,269907.9477055,1509839.3935675,c0-d1
