Point_name,corner_x,corner_y
a0,275621.4696,1497274.511
a1,275621.2149,1497284.561
a2,275621.11,1497295.402
a3,275621.653,1497305.613
a4,275621.0636,1497315.103
b0,275631.6238,1497272.774
b1,275631.3223,1497286.062
b2,275630.9717,1497295.989
b3,275630.5135,1497306.319
b4,275631.7289,1497313.789
c0,275640.2778,1497273.7
c1,275640.2383,1497284.892
c2,275641.01785,1497294.99375
c3,275641.2245,1497305.067
c4,275640.8398,1497313.587
d0,275651.6223,1497274.75
d1,275650.2733,1497283.693
d2,275651.6369,1497294.027
d3,275651.9576,1497303.435
d4,275651.0138,1497314.093
e0,275661.2005,1497274.404
e1,275661.1508,1497283.882
e2,275661.3842,1497293.373
e3,275661.1203,1497304.144
e4,275660.4993,1497313.611
z*a0,275607.6842,1497263.994
z*a4,275611.3431,1497324.433
z*e0,275668.5513,1497263.742
z*e4,275669.0731,1497322.483
z0a,275620.4687,1497264.563
z0b,275629.774733,1497263.60491
z0c,275639.8579,1497263.314
z0d,275649.5777,1497264.567
z0e,275659.5877,1497263.533
z4a,275621.7928,1497324.122
z4b,275630.9769,1497323.889
z4c,275642.0078,1497324.563
z4d,275652.4933,1497323.74
za0,275608.9061,1497274.736
za1,275608.3745,1497285.587
za2,275608.1595,1497295.029
za3,275608.920611,1497305.18496
za4,275609.1914,1497314.831
ze0,275670.9176,1497273.793
ze1,275669.7424,1497283.893
ze2,275670.038657,1497294.41974
ze3,275669.7648,1497304.09
ze4,275671.951,1497315.353
