cornerpt,cornerx,cornery,cell_name
b1,275572.9256,1497694.785,b1-c2
c1,275584.2253,1497700.308,b1-c2
c2,275588.7859,1497691.34,b1-c2
b2,275578.7555,1497685.947,b1-c2
