cornerpt,cornerx,cornery,cell_name
b4,275585.496,1497669.518,b4-z4c
c4,275594.3719,1497673.497,b4-z4c
z4c,275600.5035,1497662.791,b4-z4c
z4b,275590.0284,1497659.173,b4-z4c
