cornerpt,cornerx,cornery,cell_name
a0,275561.4711,1497699.773,a0-b1
b0,275569.9853,1497704.387,a0-b1
b1,275572.9256,1497694.785,a0-b1
a1,275564.6323,1497691.876,a0-b1
