cornerpt,cornerx,cornery,cell_name
e2,NA,NA,e2-ze3
ze2,300954.0598,1565037.585,e2-ze3
ze3,300957.1759,1565026.614,e2-ze3
e3,300947.8287,1565024.222,e2-ze3
