cornerpt,cornerx,cornery,cell_name
z*a0,300889.2633,1565056.104,a0-z*a0
z0a,300890.548459,1565046.58884,a0-z*a0
a0,300900.8091,1565049.016,a0-z*a0
za0,300901.321,1565058.227,a0-z*a0
