cornerpt,cornerx,cornery,cell_name
d3,300937.0479,1565019.878,d3-e4
e3,300947.8287,1565024.222,d3-e4
e4,300948.5891,1565014.652,d3-e4
d4,300939.562236,1565013.40083,d3-e4
