cornerpt,cornerx,cornery,cell_name
z0c,300919.5108,1565060.976,c0-z0d
z0d,300927.9194,1565062.872,c0-z0d
d0,300930.704596,1565054.27955,c0-z0d
c0,300919.5178,1565053.209,c0-z0d
