cornerpt,cornerx,cornery,cell_name
za0,300901.321,1565058.227,a0-za1
a0,300900.8091,1565049.016,a0-za1
a1,300904.634969,1565038.63108,a0-za1
za1,300893.79913,1565036.17343,a0-za1
