z*a0,z0a,z0b,z0c,z0d,z0e,z*e0
za0,a0,b0,c0,d0,e0,ze0
za1,a1,b1,c1,d1,e1,ze1
za2,a2,b2,c2,d2,e2,ze2
za3,a3,b3,c3,d3,e3,ze3
za4,a4,b4,c4,d4,e4,ze4
z*a4,z4a,z4b,z4c,z4d,z4e,z*e4
